City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Byron Bay,AU,2022-07-20 06:28:00,-28.65,153.6167,59.94,62,98,14.32
1,Half Moon Bay,US,2022-07-20 06:29:58,37.4636,-122.4286,62.91,88,100,17.27
2,Arraial Do Cabo,BR,2022-07-20 06:29:58,-22.9661,-42.0278,68.25,90,0,3.96
3,Bluff,NZ,2022-07-20 06:29:59,-46.6,168.3333,43.81,72,98,10.71
4,Verkhnevilyuysk,RU,2022-07-20 06:29:59,63.4453,120.3167,68.72,62,100,7.25
5,Albany,US,2022-07-20 06:27:03,42.6001,-73.9662,72.88,89,51,5.06
6,Saint-Philippe,RE,2022-07-20 06:30:00,-21.3585,55.7679,75.22,68,49,18.1
7,Faanui,PF,2022-07-20 06:30:00,-16.4833,-151.75,78.04,66,8,7.99
8,Chuy,UY,2022-07-20 06:30:01,-33.6971,-53.4616,44.11,91,0,5.5
9,Yerbogachen,RU,2022-07-20 06:30:02,61.2767,108.0108,65.34,79,100,9.73
10,Luderitz,NA,2022-07-20 06:30:02,-26.6481,15.1594,55.31,60,0,13.65
11,Punta Arenas,CL,2022-07-20 06:30:03,-53.15,-70.9167,35.71,60,75,47.18
12,Maldonado,UY,2022-07-20 06:30:03,-34.6667,-54.9167,46.22,93,4,6.89
13,Vaini,TO,2022-07-20 06:30:03,-21.2,-175.2,73.56,94,75,8.05
14,Jamestown,US,2022-07-20 06:30:04,42.097,-79.2353,74.79,87,0,5.75
15,Rikitea,PF,2022-07-20 06:30:04,-23.1203,-134.9692,73.27,79,0,6.62
16,Mount Gambier,AU,2022-07-20 06:30:05,-37.8333,140.7667,49.59,68,10,5.7
17,Upernavik,GL,2022-07-20 06:30:05,72.7868,-56.1549,44.35,83,97,5.79
18,Port Elizabeth,ZA,2022-07-20 06:30:06,-33.918,25.5701,54.32,96,20,5.75
19,Port Alfred,ZA,2022-07-20 06:30:06,-33.5906,26.891,54.18,97,100,1.99
20,Ixtapa,MX,2022-07-20 06:30:07,20.7,-105.2,84.22,89,0,0.0
21,Broome,US,2022-07-20 06:30:07,42.2506,-75.833,72.18,92,93,2.91
22,New Norfolk,AU,2022-07-20 06:30:08,-42.7826,147.0587,48.7,82,1,1.43
23,Isangel,VU,2022-07-20 06:30:08,-19.55,169.2667,78.91,89,40,6.91
24,Reconquista,AR,2022-07-20 06:30:08,-29.15,-59.65,53.76,93,29,4.85
25,Mataura,NZ,2022-07-20 06:30:09,-46.1927,168.8643,43.48,87,100,2.15
26,Cape Town,ZA,2022-07-20 06:29:14,-33.9258,18.4232,55.38,81,20,8.05
27,Bredasdorp,ZA,2022-07-20 06:30:10,-34.5322,20.0403,48.56,82,22,3.24
28,Avarua,CK,2022-07-20 06:30:10,-21.2078,-159.775,73.45,73,75,12.66
29,Bethel,US,2022-07-20 06:26:40,41.3712,-73.414,77.9,83,0,1.01
30,Busselton,AU,2022-07-20 06:30:11,-33.65,115.3333,65.46,71,79,15.75
31,Ushuaia,AR,2022-07-20 06:26:45,-54.8,-68.3,37.06,93,100,17.27
32,Paamiut,GL,2022-07-20 06:30:11,61.994,-49.6678,45.66,93,100,1.95
33,Noyabrsk,RU,2022-07-20 06:30:12,63.1994,75.4507,70.2,39,34,10.98
34,Bereda,ES,2022-07-20 06:30:12,43.2686,-7.5406,62.42,100,30,1.19
35,Farafangana,MG,2022-07-20 06:30:13,-22.8167,47.8333,70.48,75,41,4.83
36,Lorengau,PG,2022-07-20 06:30:13,-2.0226,147.2712,83.44,71,93,5.88
37,Tasiilaq,GL,2022-07-20 06:30:14,65.6145,-37.6368,35.76,93,100,6.91
38,Mahebourg,MU,2022-07-20 06:30:14,-20.4081,57.7,71.89,64,75,19.57
39,Humaita,BR,2022-07-20 06:30:14,-7.5061,-63.0208,69.78,59,0,2.01
40,Hasaki,JP,2022-07-20 06:30:15,35.7333,140.8333,95.29,72,99,11.48
41,Chapais,CA,2022-07-20 06:30:15,49.7834,-74.8492,53.38,93,0,3.53
42,Mossendjo,CG,2022-07-20 06:30:16,-2.9506,12.7261,70.54,79,18,3.24
43,Kapaa,US,2022-07-20 06:25:35,22.0752,-159.319,80.58,84,100,17.27
44,Alyangula,AU,2022-07-20 06:30:16,-13.8483,136.4192,75.7,58,59,13.38
45,Cidreira,BR,2022-07-20 06:30:17,-30.1811,-50.2056,57.79,92,0,7.16
46,Thompson,CA,2022-07-20 06:30:17,55.7435,-97.8558,69.96,64,75,3.44
47,Havoysund,NO,2022-07-20 06:31:18,70.9963,24.6622,50.23,85,100,6.38
48,Acari,PE,2022-07-20 06:31:18,-15.4311,-74.6158,62.38,79,45,1.66
49,Toktogul,KG,2022-07-20 06:31:19,41.8708,72.9402,82.89,32,0,4.83
50,Laguna,US,2022-07-20 06:31:19,38.421,-121.4238,79.63,44,0,8.05
51,Bell Ville,AR,2022-07-20 06:31:19,-32.6259,-62.6887,46.49,74,0,8.08
52,Atuona,PF,2022-07-20 06:31:20,-9.8,-139.0333,77.25,77,78,12.15
53,Provideniya,RU,2022-07-20 06:31:20,64.3833,-173.3,45.79,64,100,12.82
54,Dingle,PH,2022-07-20 06:31:21,10.9995,122.6711,87.46,69,60,7.09
55,Te Anau,NZ,2022-07-20 06:31:21,-45.4167,167.7167,40.91,95,100,3.62
56,Nattam,IN,2022-07-20 06:31:22,10.2333,78.2333,90.05,52,100,2.66
57,Souillac,MU,2022-07-20 06:31:22,-20.5167,57.5167,71.98,64,75,19.57
58,Saskylakh,RU,2022-07-20 06:31:23,71.9167,114.0833,51.24,48,28,17.13
59,Hobart,AU,2022-07-20 06:31:23,-42.8794,147.3294,48.06,78,20,5.75
60,Hirara,JP,2022-07-20 06:31:23,24.8,125.2833,89.87,74,40,16.11
61,Aripuana,BR,2022-07-20 06:31:24,-9.1667,-60.6333,67.59,58,0,1.83
62,Rio Gallegos,AR,2022-07-20 06:31:24,-51.6226,-69.2181,33.85,80,0,33.38
63,La Ronge,CA,2022-07-20 06:31:25,55.1001,-105.2842,70.05,46,75,9.22
64,Menongue,AO,2022-07-20 06:31:25,-14.6585,17.691,58.44,36,1,6.89
65,Komsomolskiy,UZ,2022-07-20 06:31:25,40.4272,71.7189,95.72,16,0,9.22
66,Richards Bay,ZA,2022-07-20 06:31:26,-28.783,32.0377,71.42,44,8,4.32
67,Hermanus,ZA,2022-07-20 06:31:26,-34.4187,19.2345,52.48,68,96,5.41
68,Belaya Gora,RU,2022-07-20 06:31:27,68.5333,146.4167,47.43,65,100,5.5
69,Zastavna,UA,2022-07-20 06:31:27,48.5231,25.8437,75.0,44,88,5.23
70,Prince George,CA,2022-07-20 06:29:03,53.9166,-122.753,52.25,86,0,3.44
71,High Level,CA,2022-07-20 06:30:26,58.5169,-117.136,57.31,88,0,4.61
72,Atar,MR,2022-07-20 06:31:28,20.5169,-13.0499,79.66,53,1,6.26
73,Hilo,US,2022-07-20 06:28:49,19.7297,-155.09,74.93,83,40,4.61
74,Dong Hoi,VN,2022-07-20 06:28:59,17.4833,106.6,89.44,65,95,8.03
75,Milkovo,RU,2022-07-20 06:31:29,54.7167,158.6167,86.94,52,1,1.77
76,Sangar,RU,2022-07-20 06:31:29,63.9242,127.4739,77.05,59,100,5.61
77,Puerto Ayora,EC,2022-07-20 06:31:30,-0.7393,-90.3518,67.55,99,96,1.99
78,Baturaja,ID,2022-07-20 06:31:30,-4.1333,104.1667,91.65,50,14,4.97
79,Chernigovka,RU,2022-07-20 06:31:31,44.3389,132.5728,78.55,71,51,3.78
80,Kaitangata,NZ,2022-07-20 06:31:31,-46.2817,169.8464,43.3,80,99,4.38
81,Aklavik,CA,2022-07-20 06:31:31,68.2191,-135.0107,59.95,70,76,7.56
82,Yellowknife,CA,2022-07-20 06:26:38,62.456,-114.3525,63.12,88,75,10.36
83,Chokurdakh,RU,2022-07-20 06:31:32,70.6333,147.9167,49.51,60,100,11.74
84,Gat,IL,2022-07-20 06:31:32,31.61,34.7642,89.4,100,0,8.25
85,Khatanga,RU,2022-07-20 06:31:33,71.9667,102.5,54.93,39,98,21.43
86,Ambilobe,MG,2022-07-20 06:31:33,-13.2,49.05,81.9,38,4,14.18
87,Potosi,BO,2022-07-20 06:31:34,-19.5836,-65.7531,39.67,81,22,2.64
88,Pak Phanang,TH,2022-07-20 06:30:42,8.3511,100.202,92.03,62,100,7.36
89,Pevek,RU,2022-07-20 06:31:34,69.7008,170.3133,32.36,97,100,15.93
90,Bloomington,US,2022-07-20 06:31:35,44.8408,-93.2983,75.52,64,20,15.01
91,Hamina,FI,2022-07-20 06:31:35,60.5697,27.1979,60.08,53,0,17.02
92,Simga,IN,2022-07-20 06:31:35,21.6333,81.7,84.78,67,91,12.3
93,Mareeba,AU,2022-07-20 06:31:36,-17.0,145.4333,75.43,75,63,4.32
94,Ancud,CL,2022-07-20 06:32:36,-41.8697,-73.8203,50.23,96,100,20.6
95,Bojnurd,IR,2022-07-20 06:32:37,37.4747,57.329,87.75,30,0,4.61
96,Norman Wells,CA,2022-07-20 06:32:37,65.282,-126.8329,57.24,77,40,2.3
97,Hadrut,AZ,2022-07-20 06:32:37,39.52,47.0318,86.59,31,6,11.92
98,Carnarvon,AU,2022-07-20 06:32:38,-24.8667,113.6333,76.51,49,16,17.31
99,Sulangan,PH,2022-07-20 06:32:38,11.1373,123.7228,84.83,72,6,4.29
100,Tuatapere,NZ,2022-07-20 06:32:39,-46.1333,167.6833,43.07,89,100,2.68
101,Kavaratti,IN,2022-07-20 06:32:39,10.5669,72.642,80.71,81,100,22.12
102,Hithadhoo,MV,2022-07-20 06:32:40,-0.6,73.0833,81.57,72,76,4.79
103,Mar Del Plata,AR,2022-07-20 06:32:40,-38.0023,-57.5575,44.62,83,0,12.66
104,Sinnamary,GF,2022-07-20 06:32:41,5.3833,-52.95,76.12,89,94,6.93
105,Riverton,US,2022-07-20 06:32:41,40.5219,-111.9391,79.21,42,0,10.0
106,Nova Serrana,BR,2022-07-20 06:32:41,-19.8761,-44.9836,57.92,71,0,3.18
107,Kirovskiy,RU,2022-07-20 06:32:42,45.0917,133.5136,78.73,70,26,5.14
108,Alofi,NU,2022-07-20 06:32:43,-19.0595,-169.9187,75.09,78,26,16.11
109,Sao Raimundo Nonato,BR,2022-07-20 06:32:43,-9.0153,-42.6994,66.22,75,7,3.74
110,Biharamulo,TZ,2022-07-20 06:32:44,-2.6319,31.3089,69.84,44,12,9.71
111,Buta,CD,2022-07-20 06:32:44,2.7858,24.73,71.65,89,100,0.65
112,Labuhan,ID,2022-07-20 06:32:45,-6.8844,112.2051,86.74,58,94,9.01
113,Port Hardy,CA,2022-07-20 06:32:45,50.6996,-127.4199,55.58,82,0,3.44
114,Kathmandu,NP,2022-07-20 06:28:23,27.7167,85.3167,79.02,78,75,2.3
115,Solnechnyy,RU,2022-07-20 06:32:46,50.7214,136.6319,62.4,84,91,5.19
116,Bambous Virieux,MU,2022-07-20 06:32:46,-20.3428,57.7575,71.85,64,75,19.57
117,Buritis,BR,2022-07-20 06:29:20,-15.6178,-46.4233,61.63,54,27,2.53
118,San Patricio,US,2022-07-20 06:32:47,28.017,-97.5169,85.89,85,0,14.36
119,Iqaluit,CA,2022-07-20 06:32:47,63.7506,-68.5145,38.93,100,100,8.05
120,Olinda,BR,2022-07-20 06:32:47,-8.0089,-34.8553,73.13,78,20,8.05
121,Constitucion,CL,2022-07-20 06:30:56,-35.3333,-72.4167,46.27,60,0,5.7
122,Qaqortoq,GL,2022-07-20 06:29:11,60.7167,-46.0333,45.23,98,100,3.02
123,Phenix City,US,2022-07-20 06:28:13,32.471,-85.0008,77.86,94,0,3.44
124,Ponta Do Sol,PT,2022-07-20 06:32:48,32.6667,-17.1,70.43,76,13,6.15
125,Talnakh,RU,2022-07-20 06:32:49,69.4865,88.3972,63.21,54,100,2.71
126,Roebourne,AU,2022-07-20 06:32:49,-20.7833,117.1333,78.08,34,0,14.7
127,Victoria,HK,2022-07-20 06:29:39,22.2855,114.1577,96.19,99,65,12.93
128,Saint-Augustin,CA,2022-07-20 06:32:50,51.226,-58.6502,58.01,96,100,27.47
129,Dhidhdhoo,MV,2022-07-20 06:32:50,6.8833,73.1,80.02,79,100,20.58
130,Ossora,RU,2022-07-20 06:32:51,59.2353,163.0719,61.93,77,100,13.44
131,Abu Dhabi,AE,2022-07-20 06:32:36,24.4667,54.3667,96.82,50,100,14.97
132,Fort Wellington,GY,2022-07-20 06:32:51,6.4,-57.6,76.84,89,100,8.81
133,Vila Franca Do Campo,PT,2022-07-20 06:32:52,37.7167,-25.4333,73.2,89,19,4.74
134,Bathsheba,BB,2022-07-20 06:32:52,13.2167,-59.5167,80.06,94,75,17.27
135,Zittau,DE,2022-07-20 06:32:53,50.9,14.8333,82.08,57,25,5.35
136,Tayoltita,MX,2022-07-20 06:33:53,24.0833,-105.9333,66.97,90,39,4.43
137,Lebu,CL,2022-07-20 06:33:54,-37.6167,-73.65,48.54,94,9,6.42
138,Belyy Yar,RU,2022-07-20 06:33:54,53.6039,91.3903,75.09,38,0,8.95
139,Kieta,PG,2022-07-20 06:33:55,-6.2167,155.6333,81.27,77,10,3.24
140,Dwarka,IN,2022-07-20 06:33:55,22.2394,68.9678,84.13,80,93,19.93
141,Santa Marta,CO,2022-07-20 06:31:02,11.2408,-74.199,78.84,83,18,15.52
142,Esperance,AU,2022-07-20 06:33:56,-33.8667,121.9,66.33,58,86,11.43
143,Nikolskoye,RU,2022-07-20 06:33:56,59.7035,30.7861,64.87,54,16,12.73
144,Pangnirtung,CA,2022-07-20 06:33:56,66.1451,-65.7125,47.21,90,100,5.99
145,Olafsvik,IS,2022-07-20 06:33:57,64.8945,-23.7142,50.95,81,10,9.22
146,Castro,BR,2022-07-20 06:33:57,-24.7911,-50.0119,57.88,96,99,5.44
147,Besao,PH,2022-07-20 06:33:58,17.095,120.8579,76.98,65,42,0.87
148,Port Augusta,AU,2022-07-20 06:33:58,-32.5,137.7667,54.43,51,100,11.83
149,Omboue,GA,2022-07-20 06:33:58,-1.5746,9.2618,72.7,89,100,7.29
150,Tuktoyaktuk,CA,2022-07-20 06:33:59,69.4541,-133.0374,49.05,87,100,4.45
151,Sahuaripa,MX,2022-07-20 06:33:59,29.05,-109.2333,73.17,85,97,0.4
152,Neyyattinkara,IN,2022-07-20 06:34:00,8.4,77.0833,78.66,67,100,13.53
153,Qaanaaq,GL,2022-07-20 06:34:00,77.484,-69.3632,40.69,76,100,2.28
154,Kruisfontein,ZA,2022-07-20 06:34:00,-34.0033,24.7314,51.89,91,100,6.04
155,Kawalu,ID,2022-07-20 06:34:01,-7.3817,108.2082,87.04,52,72,4.94
156,Kabalo,CD,2022-07-20 06:34:01,-6.05,26.9167,84.81,33,1,3.91
157,East London,ZA,2022-07-20 06:34:02,-33.0153,27.9116,58.14,94,100,8.05
158,Salinopolis,BR,2022-07-20 06:34:02,-0.6136,-47.3561,77.23,86,33,6.87
159,Naze,JP,2022-07-20 06:34:02,28.3667,129.4833,85.12,78,85,16.2
160,Avera,US,2022-07-20 06:34:03,33.194,-82.5271,73.54,93,4,6.62
161,Palu,ID,2022-07-20 06:34:03,-0.8917,119.8707,87.44,65,44,3.98
162,Tahoua,NE,2022-07-20 06:34:04,14.8888,5.2692,80.13,70,95,14.27
163,Saldanha,ZA,2022-07-20 06:34:04,-33.0117,17.9442,39.25,76,1,7.92
164,Chara,RU,2022-07-20 06:34:05,56.9064,118.2631,65.01,79,100,1.01
165,Cabo San Lucas,MX,2022-07-20 06:32:11,22.8909,-109.9124,86.5,66,34,1.99
166,Codrington,AU,2022-07-20 06:34:05,-38.2667,141.9667,50.09,69,5,6.46
167,Prince Rupert,CA,2022-07-20 06:34:06,54.3161,-130.3201,55.09,95,0,10.36
168,Kodiak,US,2022-07-20 06:34:06,57.79,-152.4072,53.11,82,100,4.61
169,Jibuti,DJ,2022-07-20 06:34:07,11.5,42.5,86.74,32,100,9.08
170,Vardo,NO,2022-07-20 06:34:07,70.3705,31.1107,53.58,100,100,13.8
171,Clarence Town,AU,2022-07-20 06:34:07,-32.5833,151.7833,60.85,86,96,3.76
172,Puerto Plata,DO,2022-07-20 06:34:08,19.7934,-70.6884,76.84,88,40,0.0
173,Berbera,SO,2022-07-20 06:34:08,10.4396,45.0143,94.14,34,100,26.87
174,Apateu,RO,2022-07-20 06:34:09,46.6167,21.7833,75.61,24,0,2.21
175,Flinders,AU,2022-07-20 06:34:09,-34.5833,150.8552,57.18,84,35,7.0
176,Bondoukou,CI,2022-07-20 06:34:10,8.0333,-2.8,66.4,88,16,5.41
177,Tautira,PF,2022-07-20 06:34:10,-17.7333,-149.15,76.98,71,6,5.3
178,Talaya,RU,2022-07-20 06:34:11,61.3833,152.75,71.46,64,97,10.87
179,Georgetown,MY,2022-07-20 06:34:11,5.4112,100.3354,89.53,70,20,7.0
180,Chihuahua,MX,2022-07-20 06:30:06,28.5,-106.0,82.69,21,46,3.89
181,Eureka,US,2022-07-20 06:30:26,40.8021,-124.1637,61.66,85,69,4.32
182,Port-Gentil,GA,2022-07-20 06:34:12,-0.7193,8.7815,73.92,85,100,11.72
183,Iwanai,JP,2022-07-20 06:34:12,42.9744,140.5089,72.43,88,76,5.01
184,Camacha,PT,2022-07-20 06:35:13,33.0833,-16.3333,67.42,73,40,11.5
185,Grafton,US,2022-07-20 06:35:13,42.207,-71.6856,75.72,80,0,8.05
186,Madison,US,2022-07-20 06:30:34,34.7334,-86.5667,76.78,85,75,0.0
187,Fort Nelson,CA,2022-07-20 06:35:14,58.8053,-122.7002,56.79,67,20,4.61
188,Butaritari,KI,2022-07-20 06:35:14,3.0707,172.7902,82.18,79,100,10.13
189,Abilene,US,2022-07-20 06:35:15,32.4487,-99.7331,93.42,31,0,16.11
190,Sitka,US,2022-07-20 06:35:15,57.0531,-135.33,53.49,94,100,3.44
191,Ankang,CN,2022-07-20 06:35:15,32.68,109.0172,91.4,42,28,1.77
192,La Esperanza,GT,2022-07-20 06:35:16,14.8667,-91.5667,54.07,98,100,6.04
193,Khislavichi,RU,2022-07-20 06:35:16,54.1871,32.1582,62.47,90,100,15.46
194,Cayey,PR,2022-07-20 06:35:17,18.1119,-66.166,77.41,90,28,3.0
195,Tiksi,RU,2022-07-20 06:35:17,71.6872,128.8694,34.43,93,100,10.94
196,Saint-Pierre,RE,2022-07-20 06:35:18,-21.3393,55.4781,76.28,48,0,18.01
197,Orlik,RU,2022-07-20 06:35:18,52.5178,99.825,63.21,38,100,1.9
198,Sao Filipe,CV,2022-07-20 06:35:18,14.8961,-24.4956,76.64,84,65,4.21
199,Kartuzy,PL,2022-07-20 06:35:19,54.3342,18.1974,73.6,65,0,1.14
200,Daru,PG,2022-07-20 06:35:19,-9.0763,143.2092,77.5,90,100,12.64
201,Lesozavodsk,RU,2022-07-20 06:35:20,45.4794,133.4244,79.36,68,67,5.48
202,Buchanan,LR,2022-07-20 06:35:20,5.8808,-10.0467,74.35,81,100,8.08
203,Oranjemund,NA,2022-07-20 06:35:21,-28.55,16.4333,51.82,71,0,9.15
204,Otjiwarongo,NA,2022-07-20 06:35:21,-20.4637,16.6477,56.93,35,0,10.07
205,Vaitape,PF,2022-07-20 06:35:21,-16.5167,-151.75,77.86,66,0,7.18
206,Ostrovnoy,RU,2022-07-20 06:35:22,68.0531,39.5131,54.59,86,97,9.78
207,Ilhabela,BR,2022-07-20 06:35:22,-23.7781,-45.3581,68.92,95,100,4.76
208,Vao,NC,2022-07-20 06:35:23,-22.6667,167.4833,73.6,90,100,10.33
209,Barrow,US,2022-07-20 06:35:23,71.2906,-156.7887,41.02,87,100,12.66
210,Venado Tuerto,AR,2022-07-20 06:35:23,-33.7456,-61.9688,44.76,78,0,8.55
211,Dunhua,CN,2022-07-20 06:35:24,43.3725,128.2425,76.51,76,8,2.13
212,Nikolaevo,BG,2022-07-20 06:35:24,42.6333,25.8,81.75,29,0,5.91
213,Zhigansk,RU,2022-07-20 06:35:25,66.7697,123.3711,60.84,48,44,16.24
214,Dikson,RU,2022-07-20 06:35:25,73.5069,80.5464,47.86,58,0,18.52
215,Rodas,CU,2022-07-20 06:35:25,22.3408,-80.5572,77.2,93,0,6.73
216,Sungaipenuh,ID,2022-07-20 06:35:26,-2.0833,101.3833,77.58,64,91,5.66
217,San Jose De Guanipa,VE,2022-07-20 06:35:26,8.8872,-64.1651,71.78,95,100,1.86
218,Tottori,JP,2022-07-20 06:35:27,35.5,134.2333,82.47,78,75,11.5
219,Aquiraz,BR,2022-07-20 06:35:27,-3.9014,-38.3911,77.18,85,26,10.67
220,Zadar,HR,2022-07-20 06:35:28,44.1197,15.2422,84.81,28,0,3.44
221,Jardim,BR,2022-07-20 06:33:31,-21.4803,-56.1381,68.95,69,17,3.69
222,Ribeira Grande,PT,2022-07-20 06:35:28,38.5167,-28.7,70.2,88,20,6.91
223,Kavieng,PG,2022-07-20 06:35:29,-2.5744,150.7967,83.1,72,100,7.0
224,Sadasivpet,IN,2022-07-20 06:35:29,17.6212,77.9503,85.42,57,100,12.64
225,Cockburn Town,TC,2022-07-20 06:35:29,21.4612,-71.1419,81.46,77,1,19.62
226,Sao Borja,BR,2022-07-20 06:35:30,-28.6606,-56.0044,55.94,96,42,6.13
227,Hokitika,NZ,2022-07-20 06:35:30,-42.7167,170.9667,47.91,82,99,5.66
228,Payson,US,2022-07-20 06:35:31,40.0444,-111.7321,77.41,59,87,5.91
229,Berlevag,NO,2022-07-20 06:35:31,70.8578,29.0864,53.4,100,75,9.22
230,Kiskunhalas,HU,2022-07-20 06:35:32,46.434,19.4848,81.63,18,0,0.76
231,Eyl,SO,2022-07-20 06:36:32,7.9803,49.8164,81.01,39,100,27.58
232,Shingu,JP,2022-07-20 06:36:33,33.7333,135.9833,89.53,51,60,7.49
233,Longyearbyen,SJ,2022-07-20 06:36:33,78.2186,15.6401,48.04,93,75,5.75
234,Grindavik,IS,2022-07-20 06:36:34,63.8424,-22.4338,51.75,93,0,9.22
235,Leshukonskoye,RU,2022-07-20 06:36:34,64.8989,45.7622,78.39,39,36,12.97
236,Alekseyevsk,RU,2022-07-20 06:36:35,57.8406,108.3492,60.48,84,100,7.34
237,Bousso,TD,2022-07-20 06:36:35,10.4795,16.7117,72.9,91,100,2.98
238,Tura,IN,2022-07-20 06:36:35,25.5198,90.2201,84.2,72,100,5.41
239,Port Hedland,AU,2022-07-20 06:36:36,-20.3167,118.5667,84.25,23,0,14.97
240,Victor Harbor,AU,2022-07-20 06:36:36,-35.5667,138.6167,53.01,67,6,9.82
241,Bontang,ID,2022-07-20 06:36:37,0.1333,117.5,84.25,70,36,6.71
242,Kem,RU,2022-07-20 06:36:37,64.9555,34.5793,61.16,80,100,17.0
243,Mangrol,IN,2022-07-20 06:36:38,21.1167,70.1167,83.23,80,100,18.68
244,Remedios,CU,2022-07-20 06:36:38,22.4947,-79.5458,77.92,87,1,9.82
245,Lavrentiya,RU,2022-07-20 06:36:38,65.5833,-171.0,42.12,75,100,8.7
246,Vanimo,PG,2022-07-20 06:36:39,-2.6741,141.3028,81.54,81,90,4.72
247,Muros,ES,2022-07-20 06:36:39,42.7762,-9.0603,65.08,90,61,5.79
248,Gigmoto,PH,2022-07-20 06:36:40,13.7796,124.39,87.39,70,75,9.35
249,Nizwa,OM,2022-07-20 06:36:40,22.9333,57.5333,88.61,62,47,4.83
250,Denpasar,ID,2022-07-20 06:36:21,-8.65,115.2167,82.06,78,20,16.11
251,Villa Rica,US,2022-07-20 06:35:29,33.7321,-84.9191,74.55,98,93,4.97
252,Severo-Kurilsk,RU,2022-07-20 06:36:41,50.6789,156.125,51.1,97,100,15.21
253,Alekseyevka,RU,2022-07-20 06:36:41,50.6309,38.6903,69.17,61,12,9.66
254,Dakar,SN,2022-07-20 06:36:42,14.6937,-17.4441,82.53,89,40,4.61
255,Awjilah,LY,2022-07-20 06:36:42,29.1081,21.2869,80.11,44,0,12.53
256,Chern,RU,2022-07-20 06:36:43,53.4523,36.9145,64.53,73,100,16.6
257,Rongcheng,CN,2022-07-20 06:36:43,30.634,117.8517,94.73,57,100,11.56
258,Champerico,GT,2022-07-20 06:36:44,14.3,-91.9167,77.29,87,100,5.61
259,Havelock,US,2022-07-20 06:32:21,34.8791,-76.9013,82.38,91,1,1.99
260,Kargil,IN,2022-07-20 06:36:44,34.5667,76.1,74.01,25,14,1.63
261,Rabo De Peixe,PT,2022-07-20 06:36:45,37.8,-25.5833,72.28,75,75,3.44
262,Tomatlan,MX,2022-07-20 06:31:48,19.9333,-105.25,77.36,91,65,1.79
263,Mamallapuram,IN,2022-07-20 06:36:45,12.6264,80.1722,93.25,61,29,8.95
264,Kisaran,ID,2022-07-20 06:36:46,2.9845,99.6158,88.88,60,98,5.57
265,Kapit,MY,2022-07-20 06:36:46,2.0167,112.9333,97.03,37,22,2.46
266,Manggar,ID,2022-07-20 06:36:46,-2.8833,108.2667,82.76,82,98,12.53
267,Santiago Del Estero,AR,2022-07-20 06:36:47,-27.7951,-64.2615,50.59,71,5,5.64
268,Coos Bay,US,2022-07-20 06:35:45,43.3665,-124.2179,58.32,96,100,5.75
269,Cabedelo,BR,2022-07-20 06:33:58,-6.9811,-34.8339,70.47,82,8,12.53
270,Mastung,PK,2022-07-20 06:36:48,29.7994,66.845,90.05,28,6,9.06
271,Minuri,PH,2022-07-20 06:36:48,16.535,121.8574,90.1,64,96,1.41
272,Bazarnyye Mataki,RU,2022-07-20 06:36:48,54.8833,49.9333,65.34,66,16,12.19
273,Port Moresby,PG,2022-07-20 06:36:49,-9.4431,147.1797,83.62,74,75,9.22
